metric,Both,CT,T
1on1 win percentage,59.6%,38.5%,85.7%
Assisted kills percentage,16.7%,17.9%,15.3%
Assists per round,0.09,0.11,0.07
Attacks per round,2.36,2.57,2.13
Clutch points per round,0.02,0.01,0.04
Damage per kill,104,102,105
Damage per round,74.9,79.4,70.1
Damage per round win,96.7,97.0,96.3
Flash assists per round,0.03,0.02,0.04
Flashes thrown per round,0.37,0.21,0.54
Kills per round,0.72,0.78,0.67
Kills per round win,0.97,0.98,0.96
Last alive percentage,12.4%,9.0%,15.9%
Opening attempts,17.7%,20.8%,14.4%
Opening deaths per round,0.08,0.08,0.07
Opening deaths traded percentage,14.0%,13.2%,14.9%
Opening kills per round,0.10,0.13,0.07
Opening success,57.5%,63.2%,48.9%
Pistol round rating,1.14,0.99,1.28
Rating 2.0,1.14,1.21,1.06
Rounds with a kill,48.2%,51.1%,45.1%
Rounds with a multi-kill,18.2%,20.1%,16.3%
Rounds with sniper kills percentage,3.6%,5.9%,1.2%
Saved by teammate per round,0.06,0.05,0.07
Saved teammate per round,0.09,0.06,0.11
Saves per round loss,11.6%,20.2%,4.7%
Sniper kills per round,0.05,0.08,0.01
Sniper kills percentage,6.3%,9.9%,1.9%
Sniper multi-kill rounds,0.01,0.02,0.005
Sniper opening kills per round,0.01,0.02,0.002
Support rounds,20.2%,24.8%,15.4%
Time alive per round,1m 12s,1m 11s,1m 13s
Time opponent flashed per round,2.09,2.14,2.07
Trade kills per round,0.13,0.10,0.16
Trade kills percentage,18.0%,13.4%,23.6%
Traded deaths per round,0.10,0.09,0.11
Traded deaths percentage,16.7%,16.9%,16.4%
Utility damage per round,2.37,2.83,1.90
Utility kills per 100 rounds,0.52,0.61,0.41
Win% after opening kill,77.7%,79.6%,74.0%
