metric,Both,CT,T
1on1 win percentage,73.0%,67.2%,82.1%
Assisted kills percentage,21.7%,23.4%,19.7%
Assists per round,0.15,0.17,0.13
Attacks per round,3.23,3.51,2.93
Clutch points per round,0.04,0.03,0.05
Damage per kill,112,111,114
Damage per round,75.4,78.5,72.3
Damage per round win,89.8,91.4,88.1
Flash assists per round,0.05,0.04,0.06
Flashes thrown per round,0.67,0.51,0.85
Kills per round,0.67,0.70,0.64
Kills per round win,0.87,0.90,0.83
Last alive percentage,11.1%,8.6%,13.8%
Opening attempts,14.4%,15.0%,13.7%
Opening deaths per round,0.07,0.06,0.08
Opening deaths traded percentage,25.0%,18.2%,30.8%
Opening kills per round,0.07,0.09,0.06
Opening success,51.7%,58.4%,44.2%
Pistol round rating,0.97,0.92,1.01
Rating 2.0,1.12,1.14,1.10
Rounds with a kill,45.9%,47.7%,44.1%
Rounds with a multi-kill,16.2%,17.3%,15.1%
Rounds with sniper kills percentage,0.3%,0.2%,0.4%
Saved by teammate per round,0.08,0.06,0.10
Saved teammate per round,0.09,0.06,0.11
Saves per round loss,6.3%,10.8%,2.2%
Sniper kills per round,0.00,0.00,0.01
Sniper kills percentage,0.6%,0.3%,0.9%
Sniper multi-kill rounds,0.0008,0.0003,0.001
Sniper opening kills per round,0.0002,0.0003,0.0
Support rounds,22.7%,25.7%,19.6%
Time alive per round,1m 9s,1m 9s,1m 9s
Time opponent flashed per round,2.28,2.52,2.14
Trade kills per round,0.13,0.10,0.15
Trade kills percentage,18.9%,14.1%,24.4%
Traded deaths per round,0.11,0.10,0.13
Traded deaths percentage,19.2%,18.4%,19.9%
Utility damage per round,6.27,8.69,3.75
Utility kills per 100 rounds,1.67,2.02,1.31
Win% after opening kill,75.4%,74.5%,76.8%
