metric,Both,CT,T
1on1 win percentage,62.0%,56.0%,70.7%
Assisted kills percentage,19.5%,20.4%,18.4%
Assists per round,0.15,0.17,0.13
Attacks per round,2.93,3.20,2.59
Clutch points per round,0.03,0.02,0.03
Damage per kill,109,109,109
Damage per round,82.5,87.7,77.1
Damage per round win,103.9,108.2,99.2
Flash assists per round,0.03,0.04,0.03
Flashes thrown per round,0.55,0.44,0.68
Kills per round,0.75,0.79,0.70
Kills per round win,1.02,1.07,0.97
Last alive percentage,10.8%,9.9%,11.7%
Opening attempts,19.8%,20.1%,19.6%
Opening deaths per round,0.09,0.08,0.11
Opening deaths traded percentage,24.7%,21.8%,27.0%
Opening kills per round,0.11,0.12,0.09
Opening success,53.0%,60.2%,45.5%
Pistol round rating,1.21,1.23,1.20
Rating 1.0,1.12,1.21,1.02
Rounds with a kill,49.2%,51.4%,46.9%
Rounds with a multi-kill,18.7%,20.4%,17.0%
Rounds with sniper kills percentage,2.0%,3.0%,0.9%
Saved by teammate per round,0.09,0.08,0.11
Saved teammate per round,0.11,0.08,0.13
Saves per round loss,8.1%,14.0%,2.5%
Sniper kills per round,0.03,0.04,0.01
Sniper kills percentage,3.6%,5.3%,1.7%
Sniper multi-kill rounds,0.007,0.01,0.002
Sniper opening kills per round,0.005,0.008,0.001
Support rounds,19.1%,21.7%,16.0%
Time alive per round,1m 1s,1m 0s,1m 2s
Time opponent flashed per round,2.17,2.38,2.03
Trade kills per round,0.15,0.13,0.17
Trade kills percentage,19.6%,16.0%,23.8%
Traded deaths per round,0.12,0.11,0.14
Traded deaths percentage,19.7%,18.5%,20.7%
Utility damage per round,5.42,6.98,3.81
Utility kills per 100 rounds,1.06,1.29,0.79
Win% after opening kill,73.8%,72.8%,75.0%
