metric,variant,value,unit,grade
Round swing,single,-,,N/A
DPR,traditional,0.64,,Good
DPR,ecoAdjusted,,,Good
KAST,traditional,73.5,%,Good
KAST,ecoAdjusted,,,Good
Multi-kill,traditional,-,,N/A
MK rating,ecoAdjusted,,,N/A
ADR,traditional,82.5,,Good
ADR,ecoAdjusted,,,Good
KPR,traditional,0.75,,Good
KPR,ecoAdjusted,,,Good
