metric,Both,CT,T
1on1 win percentage,63.3%,52.9%,72.4%
Assisted kills percentage,18.3%,18.5%,18.1%
Assists per round,0.11,0.11,0.10
Attacks per round,1.99,1.93,1.88
Clutch points per round,0.02,0.02,0.03
Damage per kill,98,98,99
Damage per round,75.0,80.3,69.3
Damage per round win,88.4,92.1,84.0
Flash assists per round,0.0,0.0,0.0
Flashes thrown per round,0.95,0.76,1.19
Kills per round,0.73,0.79,0.67
Kills per round win,0.95,1.01,0.89
Last alive percentage,10.3%,9.4%,11.3%
Opening attempts,21.0%,23.5%,18.3%
Opening deaths per round,0.08,0.08,0.08
Opening deaths traded percentage,18.8%,17.4%,20.2%
Opening kills per round,0.13,0.16,0.10
Opening success,61.0%,66.5%,53.7%
Pistol round rating,0.93,1.05,0.82
Rating 1.0,1.14,1.24,1.03
Rounds with a kill,49.0%,51.6%,46.3%
Rounds with a multi-kill,18.4%,20.9%,15.9%
Rounds with sniper kills percentage,31.1%,38.6%,23.2%
Saved by teammate per round,0.08,0.06,0.09
Saved teammate per round,0.08,0.06,0.09
Saves per round loss,5.8%,9.1%,2.7%
Sniper kills per round,0.42,0.51,0.30
Sniper kills percentage,58.2%,67.8%,47.0%
Sniper multi-kill rounds,0.11,0.15,0.07
Sniper opening kills per round,0.10,0.13,0.06
Support rounds,18.7%,18.8%,16.8%
Time alive per round,0m 58s,0m 47s,1m 10s
Time opponent flashed per round,0.0,0.0,0.0
Trade kills per round,0.12,0.11,0.14
Trade kills percentage,16.9%,13.9%,20.7%
Traded deaths per round,0.11,0.09,0.12
Traded deaths percentage,18.4%,17.0%,19.8%
Utility damage per round,3.11,3.93,2.25
Utility kills per 100 rounds,0.79,0.82,0.58
Win% after opening kill,77.2%,77.6%,76.6%
