metric,Both,CT,T
1on1 win percentage,55.8%,46.1%,65.4%
Assisted kills percentage,17.0%,18.6%,15.2%
Assists per round,0.13,0.16,0.10
Attacks per round,3.29,3.61,2.96
Clutch points per round,0.04,0.02,0.06
Damage per kill,112,112,112
Damage per round,83.7,87.6,79.6
Damage per round win,102.3,107.2,96.8
Flash assists per round,0.07,0.05,0.09
Flashes thrown per round,0.70,0.46,0.97
Kills per round,0.75,0.78,0.71
Kills per round win,0.97,1.02,0.91
Last alive percentage,17.1%,13.1%,21.3%
Opening attempts,19.7%,22.1%,17.1%
Opening deaths per round,0.08,0.08,0.08
Opening deaths traded percentage,24.1%,21.5%,26.7%
Opening kills per round,0.12,0.14,0.09
Opening success,59.3%,64.1%,52.9%
Pistol round rating,1.07,1.11,1.03
Rating 2.0,1.23,1.26,1.21
Rounds with a kill,50.5%,52.0%,49.0%
Rounds with a multi-kill,18.3%,19.5%,17.2%
Rounds with sniper kills percentage,0.7%,1.2%,0.2%
Saved by teammate per round,0.06,0.05,0.07
Saved teammate per round,0.09,0.08,0.09
Saves per round loss,14.9%,25.7%,4.6%
Sniper kills per round,0.01,0.01,0.00
Sniper kills percentage,0.9%,1.5%,0.3%
Sniper multi-kill rounds,0.001,0.003,0.0
Sniper opening kills per round,0.0007,0.001,0.0
Support rounds,21.0%,24.5%,17.4%
Time alive per round,1m 10s,1m 10s,1m 11s
Time opponent flashed per round,2.61,2.89,2.48
Trade kills per round,0.13,0.12,0.14
Trade kills percentage,17.7%,15.9%,19.7%
Traded deaths per round,0.09,0.09,0.10
Traded deaths percentage,16.4%,17.6%,15.4%
Utility damage per round,7.15,9.69,4.50
Utility kills per 100 rounds,1.78,2.20,1.33
Win% after opening kill,72.0%,72.2%,71.6%
