order,name,url
1,ZywOo,https://www.hltv.org/stats/players/11893/zywoo?startDate=2019-01-01&endDate=2019-12-31
2,s1mple,https://www.hltv.org/stats/players/7998/s1mple?startDate=2019-01-01&endDate=2019-12-31
3,device,https://www.hltv.org/stats/players/7592/device?startDate=2019-01-01&endDate=2019-12-31
4,EliGE,https://www.hltv.org/stats/players/8738/elige?startDate=2019-01-01&endDate=2019-12-31
5,Magisk,https://www.hltv.org/stats/players/9032/magisk?startDate=2019-01-01&endDate=2019-12-31
6,electroNic,https://www.hltv.org/stats/players/8918/electronic?startDate=2019-01-01&endDate=2019-12-31
7,NAF,https://www.hltv.org/stats/players/8520/naf?startDate=2019-01-01&endDate=2019-12-31
8,Brehze,https://www.hltv.org/stats/players/9136/brehze?startDate=2019-01-01&endDate=2019-12-31
9,Twistzz,https://www.hltv.org/stats/players/10394/twistzz?startDate=2019-01-01&endDate=2019-12-31
10,ropz,https://www.hltv.org/stats/players/11816/ropz?startDate=2019-01-01&endDate=2019-12-31
11,NiKo,https://www.hltv.org/stats/players/3741/niko?startDate=2019-01-01&endDate=2019-12-31
12,woxic,https://www.hltv.org/stats/players/8574/woxic?startDate=2019-01-01&endDate=2019-12-31
13,sergej,https://www.hltv.org/stats/players/11916/sergej?startDate=2019-01-01&endDate=2019-12-31
14,Xyp9x,https://www.hltv.org/stats/players/4954/xyp9x?startDate=2019-01-01&endDate=2019-12-31
15,jks,https://www.hltv.org/stats/players/4679/jks?startDate=2019-01-01&endDate=2019-12-31
16,dupreeh,https://www.hltv.org/stats/players/7398/dupreeh?startDate=2019-01-01&endDate=2019-12-31
17,KRIMZ,https://www.hltv.org/stats/players/7528/krimz?startDate=2019-01-01&endDate=2019-12-31
18,CeRq,https://www.hltv.org/stats/players/11219/cerq?startDate=2019-01-01&endDate=2019-12-31
19,Brollan,https://www.hltv.org/stats/players/13666/brollan?startDate=2019-01-01&endDate=2019-12-31
20,Ethan,https://www.hltv.org/stats/players/10671/ethan?startDate=2019-01-01&endDate=2019-12-31
