metric,Both,CT,T
1on1 win percentage,53.7%,45.5%,63.2%
Assisted kills percentage,17.1%,18.8%,15.2%
Assists per round,0.12,0.14,0.10
Attacks per round,2.71,2.89,2.52
Clutch points per round,0.02,0.01,0.03
Damage per kill,110,108,111
Damage per round,75.9,79.8,71.8
Damage per round win,96.3,97.8,94.3
Flash assists per round,0.03,0.03,0.03
Flashes thrown per round,0.81,0.70,0.96
Kills per round,0.69,0.74,0.64
Kills per round win,0.94,0.96,0.90
Last alive percentage,8.6%,7.0%,10.3%
Opening attempts,17.6%,16.3%,18.9%
Opening deaths per round,0.08,0.06,0.10
Opening deaths traded percentage,26.4%,26.6%,26.2%
Opening kills per round,0.09,0.10,0.09
Opening success,52.5%,60.2%,45.6%
Pistol round rating,1.33,1.35,1.31
Rating 2.0,1.12,1.18,1.06
Rounds with a kill,46.2%,48.3%,44.1%
Rounds with a multi-kill,16.9%,18.2%,15.6%
Rounds with sniper kills percentage,1.1%,1.6%,0.7%
Saved by teammate per round,0.09,0.08,0.11
Saved teammate per round,0.10,0.08,0.12
Saves per round loss,10.3%,19.1%,3.1%
Sniper kills per round,0.01,0.02,0.01
Sniper kills percentage,1.9%,2.5%,1.1%
Sniper multi-kill rounds,0.002,0.004,0.0004
Sniper opening kills per round,0.002,0.003,0.0004
Support rounds,21.3%,26.4%,15.9%
Time alive per round,1m 11s,1m 11s,1m 10s
Time opponent flashed per round,1.92,1.98,1.87
Trade kills per round,0.14,0.11,0.16
Trade kills percentage,19.9%,15.4%,25.3%
Traded deaths per round,0.13,0.11,0.14
Traded deaths percentage,21.1%,21.8%,20.6%
Utility damage per round,4.79,5.61,3.94
Utility kills per 100 rounds,0.88,1.18,0.57
Win% after opening kill,75.7%,76.4%,74.9%
