metric,Both,CT,T
1on1 win percentage,76.2%,70.0%,81.8%
Assisted kills percentage,25.8%,25.6%,26.0%
Assists per round,0.23,0.24,0.21
Attacks per round,3.07,3.34,2.83
Clutch points per round,0.02,0.01,0.03
Damage per kill,114,114,114
Damage per round,81.0,83.8,78.3
Damage per round win,103.5,103.6,103.5
Flash assists per round,0.03,0.03,0.04
Flashes thrown per round,0.53,0.42,0.62
Kills per round,0.71,0.73,0.69
Kills per round win,0.97,0.97,0.97
Last alive percentage,10.6%,10.0%,11.2%
Opening attempts,20.0%,21.1%,18.9%
Opening deaths per round,0.10,0.09,0.11
Opening deaths traded percentage,28.9%,27.1%,30.3%
Opening kills per round,0.10,0.12,0.08
Opening success,49.3%,57.8%,40.3%
Pistol round rating,1.35,1.30,1.40
Rating 3.0,1.14,1.12,1.17
Rounds with a kill,47.2%,48.8%,45.6%
Rounds with a multi-kill,17.8%,18.2%,17.3%
Rounds with sniper kills percentage,0.4%,0.3%,0.4%
Saved by teammate per round,0.11,0.09,0.12
Saved teammate per round,0.12,0.08,0.16
Saves per round loss,9.0%,16.3%,2.5%
Sniper kills per round,0.01,0.01,0.00
Sniper kills percentage,0.7%,0.9%,0.6%
Sniper multi-kill rounds,0.001,0.002,0.0005
Sniper opening kills per round,0.0,0.0,0.0
Support rounds,22.5%,25.6%,19.6%
Time alive per round,1m 10s,1m 9s,1m 11s
Time opponent flashed per round,2.27,2.30,2.25
Trade kills per round,0.15,0.12,0.18
Trade kills percentage,21.6%,16.8%,26.5%
Traded deaths per round,0.14,0.12,0.15
Traded deaths percentage,21.3%,20.8%,21.8%
Utility damage per round,5.89,6.55,5.28
Utility kills per 100 rounds,1.05,1.18,0.93
Win% after opening kill,72.6%,69.0%,78.2%
