metric,Both,CT,T
1on1 win percentage,70.6%,66.7%,75.0%
Assisted kills percentage,14.9%,15.3%,14.5%
Assists per round,0.13,0.17,0.10
Attacks per round,2.86,3.47,2.26
Clutch points per round,0.02,0.02,0.03
Damage per kill,111,112,110
Damage per round,86.5,97.8,75.5
Damage per round win,113.0,127.9,96.8
Flash assists per round,0.06,0.05,0.08
Flashes thrown per round,0.80,0.53,1.05
Kills per round,0.78,0.87,0.68
Kills per round win,1.08,1.22,0.91
Last alive percentage,11.4%,7.3%,15.4%
Opening attempts,26.3%,29.5%,23.2%
Opening deaths per round,0.11,0.11,0.12
Opening deaths traded percentage,17.9%,18.5%,17.4%
Opening kills per round,0.15,0.19,0.11
Opening success,57.2%,63.8%,48.8%
Pistol round rating,1.30,1.41,1.19
Rating 2.0,1.21,1.32,1.10
Rounds with a kill,50.7%,54.9%,46.6%
Rounds with a multi-kill,20.1%,23.7%,16.6%
Rounds with sniper kills percentage,4.8%,2.8%,6.8%
Saved by teammate per round,0.07,0.07,0.08
Saved teammate per round,0.10,0.09,0.12
Saves per round loss,9.3%,15.7%,3.8%
Sniper kills per round,0.06,0.04,0.09
Sniper kills percentage,8.3%,4.9%,12.5%
Sniper multi-kill rounds,0.02,0.01,0.02
Sniper opening kills per round,0.01,0.01,0.02
Support rounds,16.0%,17.3%,14.7%
Time alive per round,1m 9s,1m 8s,1m 10s
Time opponent flashed per round,2.53,2.93,2.32
Trade kills per round,0.13,0.12,0.15
Trade kills percentage,17.1%,13.5%,21.6%
Traded deaths per round,0.11,0.12,0.11
Traded deaths percentage,17.2%,18.6%,16.0%
Utility damage per round,5.72,8.71,2.78
Utility kills per 100 rounds,0.87,1.32,0.42
Win% after opening kill,73.3%,76.5%,68.0%
