metric,variant,value,unit,grade
Round swing,single,+1.81,%,Good
DPR,traditional,0.64,,Okay
DPR,ecoAdjusted,0.66,,Okay
KAST,traditional,73.7,%,Okay
KAST,ecoAdjusted,71.8,%,Okay
Multi-kill,traditional,18.5,%,Good
MK rating,ecoAdjusted,1.24,,Good
ADR,traditional,82.3,,Good
ADR,ecoAdjusted,81.8,,Good
KPR,traditional,0.74,,Good
KPR,ecoAdjusted,0.75,,Good
