metric,Both,CT,T
1on1 win percentage,57.9%,57.1%,58.6%
Assisted kills percentage,21.7%,21.9%,21.6%
Assists per round,0.14,0.16,0.12
Attacks per round,3.13,3.28,2.98
Clutch points per round,0.03,0.02,0.03
Damage per kill,108,109,106
Damage per round,80.4,81.3,79.5
Damage per round win,99.3,101.3,97.3
Flash assists per round,0.03,0.02,0.04
Flashes thrown per round,0.77,0.56,0.96
Kills per round,0.75,0.74,0.75
Kills per round win,0.99,1.00,0.98
Last alive percentage,10.6%,8.5%,12.7%
Opening attempts,15.4%,16.5%,14.2%
Opening deaths per round,0.06,0.06,0.06
Opening deaths traded percentage,22.4%,18.5%,26.2%
Opening kills per round,0.09,0.10,0.08
Opening success,58.2%,61.2%,54.8%
Pistol round rating,1.19,1.09,1.28
Rating 2.0,1.16,1.13,1.20
Rounds with a kill,49.6%,50.0%,49.3%
Rounds with a multi-kill,18.4%,17.7%,19.1%
Rounds with sniper kills percentage,0.6%,0.4%,0.9%
Saved by teammate per round,0.09,0.08,0.10
Saved teammate per round,0.12,0.08,0.15
Saves per round loss,9.2%,15.5%,3.1%
Sniper kills per round,0.01,0.01,0.01
Sniper kills percentage,1.1%,0.7%,1.5%
Sniper multi-kill rounds,0.002,0.002,0.003
Sniper opening kills per round,0.0,0.0,0.0
Support rounds,19.0%,22.0%,16.0%
Time alive per round,1m 6s,1m 5s,1m 7s
Time opponent flashed per round,2.22,2.53,2.04
Trade kills per round,0.15,0.12,0.18
Trade kills percentage,20.5%,16.3%,24.6%
Traded deaths per round,0.12,0.12,0.13
Traded deaths percentage,19.3%,19.6%,19.1%
Utility damage per round,4.88,5.70,4.08
Utility kills per 100 rounds,1.03,1.18,0.89
Win% after opening kill,71.9%,68.5%,76.3%
