metric,Both,CT,T
1on1 win percentage,54.7%,41.7%,66.7%
Assisted kills percentage,18.8%,20.5%,17.0%
Assists per round,0.16,0.18,0.13
Attacks per round,3.27,3.53,3.03
Clutch points per round,0.02,0.02,0.03
Damage per kill,114,114,114
Damage per round,82.1,86.7,77.7
Damage per round win,104.3,108.7,99.9
Flash assists per round,0.05,0.04,0.05
Flashes thrown per round,0.74,0.51,0.93
Kills per round,0.72,0.76,0.68
Kills per round win,0.99,1.04,0.95
Last alive percentage,12.4%,9.9%,14.8%
Opening attempts,17.7%,18.4%,17.1%
Opening deaths per round,0.08,0.07,0.08
Opening deaths traded percentage,24.9%,25.8%,24.3%
Opening kills per round,0.10,0.11,0.09
Opening success,55.0%,59.8%,50.2%
Pistol round rating,1.11,1.04,1.17
Rating 2.0,1.15,1.17,1.13
Rounds with a kill,48.2%,50.4%,46.1%
Rounds with a multi-kill,18.2%,19.4%,17.1%
Rounds with sniper kills percentage,4.3%,6.7%,2.1%
Saved by teammate per round,0.10,0.08,0.11
Saved teammate per round,0.11,0.09,0.13
Saves per round loss,8.5%,15.2%,2.3%
Sniper kills per round,0.05,0.08,0.03
Sniper kills percentage,7.3%,10.0%,4.5%
Sniper multi-kill rounds,0.01,0.01,0.008
Sniper opening kills per round,0.01,0.02,0.003
Support rounds,19.4%,22.4%,16.6%
Time alive per round,1m 8s,1m 9s,1m 8s
Time opponent flashed per round,2.19,2.56,1.99
Trade kills per round,0.16,0.15,0.18
Trade kills percentage,22.3%,19.2%,25.6%
Traded deaths per round,0.13,0.12,0.13
Traded deaths percentage,19.8%,19.8%,19.9%
Utility damage per round,5.95,7.56,4.42
Utility kills per 100 rounds,1.42,1.53,1.32
Win% after opening kill,72.9%,70.4%,75.9%
