metric,Both,CT,T
1on1 win percentage,51.6%,26.9%,69.4%
Assisted kills percentage,15.5%,17.5%,13.4%
Assists per round,0.09,0.10,0.09
Attacks per round,2.35,2.37,2.32
Clutch points per round,0.02,0.007,0.03
Damage per kill,104,101,108
Damage per round,80.4,80.0,80.8
Damage per round win,103.3,103.4,103.1
Flash assists per round,0.03,0.02,0.04
Flashes thrown per round,0.34,0.20,0.47
Kills per round,0.77,0.79,0.75
Kills per round win,1.04,1.07,1.00
Last alive percentage,13.2%,10.0%,16.4%
Opening attempts,22.0%,24.1%,19.9%
Opening deaths per round,0.10,0.10,0.09
Opening deaths traded percentage,14.3%,13.6%,15.0%
Opening kills per round,0.12,0.14,0.10
Opening success,55.6%,58.2%,52.5%
Pistol round rating,1.18,1.23,1.12
Rating 2.0,1.18,1.18,1.19
Rounds with a kill,50.0%,50.7%,49.2%
Rounds with a multi-kill,20.0%,21.3%,18.7%
Rounds with sniper kills percentage,5.9%,10.4%,1.4%
Saved by teammate per round,0.06,0.06,0.07
Saved teammate per round,0.08,0.06,0.09
Saves per round loss,12.4%,19.6%,5.6%
Sniper kills per round,0.08,0.15,0.02
Sniper kills percentage,10.9%,18.3%,2.9%
Sniper multi-kill rounds,0.02,0.04,0.004
Sniper opening kills per round,0.02,0.03,0.003
Support rounds,18.5%,21.8%,15.3%
Time alive per round,1m 12s,1m 10s,1m 14s
Time opponent flashed per round,1.94,2.25,1.80
Trade kills per round,0.12,0.10,0.13
Trade kills percentage,15.1%,12.4%,18.0%
Traded deaths per round,0.10,0.09,0.10
Traded deaths percentage,15.8%,16.6%,15.2%
Utility damage per round,2.05,2.30,1.80
Utility kills per 100 rounds,0.51,0.59,0.44
Win% after opening kill,69.8%,69.0%,70.9%
