metric,Both,CT,T
1on1 win percentage,65.8%,63.7%,68.2%
Assisted kills percentage,20.4%,21.8%,19.0%
Assists per round,0.17,0.19,0.15
Attacks per round,2.88,3.09,2.66
Clutch points per round,0.02,0.01,0.02
Damage per kill,105,105,105
Damage per round,90.8,93.0,88.5
Damage per round win,118.5,119.4,117.6
Flash assists per round,0.02,0.02,0.01
Flashes thrown per round,0.40,0.37,0.45
Kills per round,0.87,0.89,0.84
Kills per round win,1.18,1.20,1.17
Last alive percentage,6.5%,6.2%,6.9%
Opening attempts,26.1%,23.8%,28.4%
Opening deaths per round,0.11,0.09,0.13
Opening deaths traded percentage,24.4%,21.5%,26.3%
Opening kills per round,0.15,0.15,0.15
Opening success,57.5%,62.9%,52.8%
Pistol round rating,1.40,1.35,1.44
Rating 2.0,1.31,1.29,1.33
Rounds with a kill,53.9%,55.2%,52.5%
Rounds with a multi-kill,23.0%,23.5%,22.4%
Rounds with sniper kills percentage,1.0%,1.1%,0.9%
Saved by teammate per round,0.11,0.09,0.13
Saved teammate per round,0.15,0.12,0.18
Saves per round loss,7.3%,12.0%,2.7%
Sniper kills per round,0.01,0.01,0.01
Sniper kills percentage,1.6%,1.7%,1.4%
Sniper multi-kill rounds,0.003,0.004,0.003
Sniper opening kills per round,0.001,0.003,0.0004
Support rounds,15.8%,18.6%,12.9%
Time alive per round,1m 6s,1m 5s,1m 7s
Time opponent flashed per round,1.98,2.45,1.59
Trade kills per round,0.18,0.15,0.20
Trade kills percentage,20.4%,17.2%,23.9%
Traded deaths per round,0.15,0.13,0.17
Traded deaths percentage,22.1%,20.7%,23.4%
Utility damage per round,3.59,4.38,2.78
Utility kills per 100 rounds,0.59,0.63,0.54
Win% after opening kill,73.9%,74.1%,73.8%
