metric,Both,CT,T
1on1 win percentage,68.3%,65.2%,72.2%
Assisted kills percentage,19.6%,22.2%,16.5%
Assists per round,0.16,0.16,0.16
Attacks per round,3.11,3.33,2.88
Clutch points per round,0.02,0.01,0.02
Damage per kill,111,108,116
Damage per round,80.8,84.6,76.9
Damage per round win,98.7,98.3,99.2
Flash assists per round,0.04,0.04,0.04
Flashes thrown per round,0.46,0.32,0.60
Kills per round,0.73,0.79,0.67
Kills per round win,0.95,0.98,0.91
Last alive percentage,7.6%,5.8%,9.4%
Opening attempts,19.6%,19.1%,20.2%
Opening deaths per round,0.10,0.08,0.11
Opening deaths traded percentage,22.8%,19.3%,25.2%
Opening kills per round,0.10,0.11,0.09
Opening success,51.3%,59.6%,43.3%
Pistol round rating,1.19,1.13,1.26
Rating 2.0,1.17,1.22,1.12
Rounds with a kill,48.3%,51.3%,45.4%
Rounds with a multi-kill,18.3%,20.4%,16.2%
Rounds with sniper kills percentage,2.5%,4.2%,0.7%
Saved by teammate per round,0.08,0.06,0.11
Saved teammate per round,0.09,0.07,0.10
Saves per round loss,7.7%,14.7%,2.2%
Sniper kills per round,0.03,0.05,0.01
Sniper kills percentage,3.9%,6.6%,0.8%
Sniper multi-kill rounds,0.009,0.02,0.0005
Sniper opening kills per round,0.007,0.01,0.0005
Support rounds,21.6%,25.1%,18.1%
Time alive per round,1m 8s,1m 8s,1m 8s
Time opponent flashed per round,2.44,2.29,2.52
Trade kills per round,0.14,0.12,0.16
Trade kills percentage,19.2%,15.4%,23.7%
Traded deaths per round,0.12,0.10,0.15
Traded deaths percentage,20.2%,19.0%,21.2%
Utility damage per round,6.49,7.10,5.87
Utility kills per 100 rounds,1.46,1.39,1.54
Win% after opening kill,76.9%,76.5%,77.5%
